Sr. No.,Ward ,Zone,Eating houses,Population,Area,Lat,Long
1,A ,Zone 1,414,210926,,18.968759,72.83437
2,B,Zone 1,385,140480,2.47,18.961668,72.833278
3,C ,Zone 1,296,190670,1.78,19.173469,72.878033
4,D,Zone 1,2108,378610,6.63,18.976384,72.810011
5,E ,Zone 1,311,439390,7.4,18.977175,72.831117
6,F North,Zone 2,169,430406,12.98,19.029805,72.854692
7,F South,Zone 2,333,417551,14,19.006176,72.839707
8,G North,Zone 2,398,537032,9.07,19.023489,72.843486
9,G South,Zone 2,247,516552,10,19.008668,72.830409
10,H East,Zone 3,159,478413,18.53,19.09035,72.846555
11,H West,Zone 3,217,322141,11.55,19.065358,72.836925
12,K East,Zone 3,,691000,23.39,19.15368,72.852012
13,K West,Zone 3,283,559283,19.13,19.166972,72.847546
14,P North,Zone 4,216,364469,24.44,19.188049,72.842307
15,P South,Zone 4,187,681377,50,19.162902,72.846504
16,L,Zone 5,256,892278,13.46,19.07068,72.879051
17,M East,Zone 5,2270,806433,32.5,19.056925,72.920656
18,M West,Zone 5,,413727,19.37,19.061402,72.899397
19,N,Zone 6,209,510708,39,19.084347,72.906464
20,S,Zone 6,159,567597,64,19.15308,72.93054
21,T,Zone 6,179,288158,45.41,19.176,72.950965